"Conditions
Event/Operation:
fiber splicing
Permit Linear Footage
30
Elements of Occupancy
bucket truck, splicing trailer
From:
12/06/2017 8:00AM
Start Time
8:00AM
To:
12/08/2017 5:00PM
End Time
5:00PM
Need to call for Inspection
Need to post tow-away sign
To activate and register this permit for towing, follow
the tow-away sign activation and photo upload
process.  To tow a vehicle call the Tow Desk at (415)
553-1200.
Special Traffic permit required
CALL FOR Special traffic permit MAY BE required
(Please check DPT Blue Book for any traffic
restrictions; to obtain a ""Blue Book"", please contact
MTA at (415) 701-4673).
Food:
N
Other:
Performing Arts:
N
Street Space Hours
8:00AM Thru 5:00PM
Meter Segment(s)
Night Noise
Work Scope"
ID,Street Name,From St,To St,Sides,*Other,Asphalt,Concrete,"Street
Space
Feet","Sidewalk
Feet"
1,CONGO ST,MANGELS AVE,"MELROSE
AVE",Even,"RW : False
SMC : False
S/W Only :
False
DB: False
BP: False
UB: False",0,0,30,
"",Total,,,,,0,0,30,
