,permit,permit_type_code,agentname,permit_curr_status,permit_address,permit_desc_purpose,permit_start_date,permit_end_date,permit_received_date,permit_appr_date
Print,14EXC-6947,Excavation,"Sonic Telecom, LLC",VOID,1350 LAWTON ST,1350 - 1400 Lawton Street Bore,1/5/15 0:00,1/18/15 0:00,12/9/14 11:29,
Print,14TOC-3676,TempOccup,"Sonic Telecom, LLC",WITHDRAW,,,1/2/15 0:00,2/6/15 0:00,12/10/14 9:10,
Print,14TOC-3691,TempOccup,"Sonic Telecom, LLC",VOID,,,1/5/15 7:00,1/5/15 18:00,12/10/14 14:47,
Print,14TOC-3805,TempOccup,"Sonic Telecom, LLC",CLOSED,,,1/5/15 7:00,1/16/15 17:00,12/19/14 10:14,12/29/14 11:06
Print,14TOC-3808,TempOccup,"Sonic Telecom, LLC",CLOSED,,,1/19/15 7:00,1/30/15 17:00,12/19/14 11:01,12/29/14 11:09
Print,14TOC-3811,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/2/15 7:00,2/2/15 17:00,12/19/14 11:48,12/29/14 11:10
Print,14TOC-3835,TempOccup,"Sonic Telecom, LLC",CLOSED,,,1/6/15 7:00,1/6/15 17:00,12/24/14 11:30,12/31/14 11:03
Print,15EXC-0542,Excavation,"Sonic Telecom, LLC",CLOSED,,Kirkham and 19th Avenue Bore to CO,3/23/15 0:00,4/5/15 0:00,1/22/15 14:42,4/1/15 11:38
Print,15EXC-1994,Excavation,"Sonic Telecom, LLC",CLOSED,,Kirkham and 19th Avenue Bore to CO,4/5/15 0:00,4/18/15 0:00,3/31/15 7:52,4/1/15 11:32
Print,15EXC-6000,Excavation,"Sonic Telecom, LLC",EXPIRED,,Anchor installation for Aerial strand placement.,12/28/15 0:00,1/11/16 0:00,10/13/15 15:33,12/22/15 8:46
Print,15EXC-6163,Excavation,"Sonic Telecom, LLC",VOID,,Sidewalk Repair,10/27/15 0:00,11/6/15 0:00,10/20/15 9:02,1/1/00 0:00
Print,15EXC-6165,Excavation,"Sonic Telecom, LLC",EXPIRED,,Anchor Installation 33rd Avenue,11/4/15 0:00,11/13/15 0:00,10/20/15 9:29,10/30/15 14:57
Print,15EXC-6700,Excavation,"Sonic Telecom, LLC",EXPIRED,311 09TH AVE,AT&T Manhole Core and Trench to Pole on 9th Avenue,11/30/15 0:00,12/4/15 0:00,11/5/15 10:19,11/18/15 15:55
Print,15EXC-7628,Excavation,"Sonic Telecom, LLC",CLOSED,498 FUNSTON AVE,Richmond Underground Bore at Funston and Anza,1/4/16 0:00,1/15/16 0:00,12/10/15 12:33,12/28/15 11:52
Print,15SMF-0019,SurfaceFac,"Sonic Telecom, LLC",VOID,,,,,4/28/15 14:58,
Print,15SMF-0020,SurfaceFac,"Sonic Telecom, LLC",VOID,,,,,4/28/15 14:59,
Print,15TOC-0090,TempOccup,"Sonic Telecom, LLC",VOID,,,1/19/15 8:00,1/19/15 17:00,1/12/15 10:53,
Print,15TOC-0412,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/2/15 7:00,2/5/15 17:00,1/27/15 15:42,1/28/15 14:18
Print,15TOC-2145,TempOccup,"Sonic Telecom, LLC",CLOSED,,,4/30/15 7:00,5/1/15 17:00,4/17/15 11:03,4/22/15 14:14
Print,15TOC-5384,TempOccup,"Sonic Telecom, LLC",WITHDRAW,,,8/31/15 7:00,10/16/15 17:00,8/24/15 13:59,
Print,15TOC-5485,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/31/15 7:00,9/11/15 17:00,8/27/15 10:41,8/28/15 10:52
Print,15TOC-5537,TempOccup,"Sonic Telecom, LLC",CLOSED,,,9/14/15 7:00,9/25/15 17:00,8/28/15 11:08,9/1/15 16:01
Print,15TOC-5539,TempOccup,"Sonic Telecom, LLC",CLOSED,,,9/8/15 21:00,9/10/15 4:00,8/28/15 11:58,9/3/15 8:03
Print,15TOC-6159,TempOccup,"Sonic Telecom, LLC",CLOSED,,,9/28/15 7:00,10/9/15 17:00,9/18/15 10:16,9/22/15 9:01
