address,checked,available,note
"2285 40TH AVE, SAN FRANCISCO, CA 94116",2018-03-03,TRUE,
"4750 19TH ST, SAN FRANCISCO CA 94114",2018-03-03,TRUE,
"4827 19TH ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"222 DANVERS ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"463 18TH AVE, SAN FRANCISCO CA 94121",2018-03-03,TRUE,
"4729 18TH ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"4638 18TH ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"278 DOUGLASS ST, SAN FRANCISCO CA 94114",2018-03-03,TRUE,
"212 DOUGLASS ST, SAN FRANCISCO CA 94114",2018-03-03,TRUE,
"184 DOUGLASS ST, SAN FRANCISCO CA 94114",2018-03-03,TRUE,
"126 DOUGLASS ST, SAN FRANCISCO CA 94114",2018-03-03,TRUE,
"78 DOUGLASS ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"4439 18TH ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"44 CASELLI AVE, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"4304 17TH ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"319 CASELLI AVE, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"2809 CASELLI AVE, SAN FRANCISCO CA 94114",2018-03-03,TRUE,
"143 ORD ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"2775 MARKET ST UNIT 1, SAN FRANCISCO CA 94114",2018-03-03,TRUE,
"3008 MARKET ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
"76 EUREKA ST, SAN FRANCISCO CA 94114",2018-03-03,FALSE,
